documento,topicos_provaveis
10.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
161.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
243.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
245.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
246.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
248.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
274.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
275.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
291.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
296.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
43.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
49.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
50.txt,"['resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
5438.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'resíduos produção processo limpa água redução técnicas empresa ambiental produtos', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota']"
61.txt,"['resíduos processo construção saúde sólidos meio resíduo ambiente gerenciamento ambiental', 'bruto consumo processo abastecimento laje pequena confecção decorativo inertização nota', 'flanela coletiva insumo frete sopro escola apoio hidrocarboneto qualificação envasamento']"
